obs_id,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3
2MASS_J00172353-6645124__2015-10-01__05-06-04,2MASS_J00172353-6645124,2MASS_J00172353-6645124,SCR_J0017-6645,,,,,2MASS J00172353-6645124_DB_H23_2015-09-30_ird_convert_recenter_dc2022_COBREX_335376,2015-10-01T05:06:04.89,2015-10-01T04:39:29.03,2015-10-01T05:32:34.86,DB_H23,B_H,0.7900,1.8000,3.4000,54.4693,0.3051,0.4984,0.3853,1.1800,0.9800,0.8700,1.0000,,,,0.7887,,,0.0018,,,1.8473,1.7000,0.3779,0.4847,0.2563,7.7030,7.9280,11.9430,11.3355,48,48,-17.3792,2022-06-25_19-46-43,0,train,0.0000,interactive,,0.0600,0,1,0.7887,1.8473,0.2089,0,0.3659,0,1
2MASS_J00172353-6645124__2016-09-17__05-06-54,2MASS_J00172353-6645124,2MASS_J00172353-6645124,SCR_J0017-6645,,,,,2MASS J00172353-6645124_DB_H23_2016-09-16_ird_convert_recenter_dc2022_COBREX_329489,2016-09-17T05:06:54.33,2016-09-17T04:23:13.78,2016-09-17T05:51:07.28,DB_H23,B_H,0.6300,18.0000,1.9500,12.7064,-1.0000,-1.0000,-1.0000,1.1500,0.9600,0.8800,0.8000,0.7374,0.2027,0.6394,,0.0173,0.0234,,17.3267,23.4265,,14.9000,-1.0000,-1.0000,-1.0000,7.7030,7.9280,11.9430,11.3355,76,76,-29.3731,2022-06-16_00-59-13,0,val,0.0000,interactive,,0.0300,1,0,0.6394,17.3267,0.6000,0,0.4757,-1,-1
2MASS_J00172353-6645124__2017-11-06__02-01-55,2MASS_J00172353-6645124,2MASS_J00172353-6645124,SCR_J0017-6645,,,,,2MASS J00172353-6645124_DB_H23_2017-11-05_ird_convert_recenter_dc2022_COBREX_332938,2017-11-06T02:01:55.11,2017-11-06T01:35:27.89,2017-11-06T02:28:22.96,DB_H23,B_H,0.7400,9.8000,1.6500,15.6464,0.3723,1.0361,0.5619,1.3500,1.1300,1.0500,1.0000,0.7597,0.3276,0.7137,,0.0099,0.0108,,9.8538,10.8082,,11.6000,0.7187,0.7910,0.6354,7.7030,7.9280,11.9430,11.3355,32,32,-17.4301,2022-06-25_05-06-36,0,train,0.0000,interactive,,0.0400,0,2,0.7137,9.8538,0.5687,1,0.4682,0,2
2MASS_J06255610-6003273__2015-02-07__01-33-14,2MASS_J06255610-6003273,GSC_8894_0426,EUVE_J0625-60.0,,,,,2MASS J06255610-6003273_DB_H23_2015-02-06_ird_convert_recenter_dc2022_COBREX_332501,2015-02-07T01:33:14.57,2015-02-07T00:50:45.65,2015-02-07T02:18:00.59,DB_H23,B_H,0.7100,7.8000,4.0800,16.0588,-1.0000,-1.0000,-1.0000,1.0200,0.9000,0.8300,1.2000,,,,0.6839,,,0.0075,,,7.5227,7.8000,-1.0000,-1.0000,-1.0000,7.2060,7.4700,11.9900,11.0329,76,76,-33.1256,2022-06-25_03-04-16,0,train,0.0000,interactive,,0.0300,0,2,0.6839,7.5227,0.5414,0,0.4510,0,2
2MASS_J07065772-5353463__2017-02-11__02-46-03,2MASS_J07065772-5353463,2MASS_J07065772-5353463,1RXS_J070659.0-535347,,,,,2MASS J07065772-5353463_DB_H23_2017-02-10_ird_convert_recenter_dc2022_COBREX_333618,2017-02-11T02:46:03.16,2017-02-11T02:02:15.46,2017-02-11T03:29:50.63,DB_H23,B_H,0.5200,7.4000,10.2000,36.7228,0.2888,0.5674,0.3881,0.8700,0.7900,0.7500,0.8000,,,0.4806,,,,,,,,12.6000,0.6960,0.7755,0.6137,7.6660,7.8970,11.0900,10.7102,80,80,-38.9737,2022-06-25_08-19-28,0,calib,0.0000,interactive,,0.0500,0,2,0.4806,7.4000,0.7139,1,0.6932,0,2
2MASS_J14081015-4123525__2018-05-18__03-24-26,2MASS_J14081015-4123525,V1032_Cen,CD-40_8434,,,,,2MASS J14081015-4123525_DB_K12_2018-05-17_ird_convert_recenter_dc2022_COBREX_waffles_only_333519,2018-05-18T03:24:26.84,2018-05-18T02:54:22.49,2018-05-18T03:54:32.12,DB_K12,B_Ks,0.6800,3.4000,0.6500,35.9734,0.2976,0.4729,0.3868,0.8400,0.8100,0.7600,1.0000,0.8333,0.3665,0.6696,,0.0033,0.0034,,3.3329,3.3510,,3.2000,0.5569,0.6674,0.3752,8.5420,8.8230,11.7100,11.6060,36,36,-43.1311,2022-06-25_08-01-24,0,train,3.0000,interactive,,0.0800,1,0,0.6696,3.3329,0.4475,0,0.4972,-1,-1
2MASS_J20013718-3313139__2015-09-30__00-10-10,2MASS_J20013718-3313139,2MASS_J20013718-3313139,ASAS_J200136-3313.0,,,,,2MASS J20013718-3313139_DB_H23_2015-09-29_ird_convert_recenter_dc2022_COBREX_329042,2015-09-30T00:10:10.38,2015-09-29T23:35:02.31,2015-09-30T00:45:18.87,DB_H23,B_H,1.0000,4.0000,6.7500,30.6179,0.3131,1.3873,0.5143,0.9200,0.9100,0.8400,1.0000,,,,0.9992,,,0.0030,,,2.9790,2.9000,0.7175,0.7892,0.6047,8.2440,8.4610,11.9200,11.4552,64,64,-87.6604,2022-06-13_12-20-17,0,train,0.0000,interactive,,0.0600,0,2,0.9992,2.9790,0.3573,0,0.4179,0,1
2MASS_J22021626-4210329__2016-06-11__09-29-34,2MASS_J22021626-4210329,2MASS_J22021626-4210329,BPS_CS_22881-0003,,,,,2MASS J22021626-4210329_DB_H23_2016-06-10_ird_convert_recenter_dc2022_COBREX_332619,2016-06-11T09:29:34.28,2016-06-11T08:48:30.66,2016-06-11T09:58:00.99,DB_H23,B_H,0.5500,4.2000,2.5300,53.3757,-1.0000,-1.0000,-1.0000,1.0400,1.0100,0.9500,1.4000,0.6300,0.3750,0.5492,,0.0040,0.0041,,4.0151,4.0949,,5.5000,-1.0000,-1.0000,-1.0000,7.9930,8.2200,,11.2287,49,49,-49.5200,2022-06-25_03-37-05,0,train,0.0000,interactive,,0.0500,1,0,0.5492,4.0151,0.5724,0,0.6314,-1,-1
HD_100453__2016-01-16__07-17-51,HD_100453,HIP56354,,HIP_56354,,TYC_8617-1438-1,SAO_239162,HIP 56354_DB_K12_2016-01-15_ird_convert_recenter_dc2022_COBREX_331428,2016-01-16T07:17:51.19,2016-01-16T07:04:19.68,2016-01-16T07:31:24.52,DB_K12,B_Ks,1.2400,2.5000,0.1300,,0.3810,0.7393,0.5102,1.1000,0.9900,0.8900,1.2000,,,,1.2716,,,0.0027,,,2.7285,1.5000,0.7627,0.7931,0.7064,5.6000,6.3900,,7.7354,176,176,-10.5217,2022-06-22_15-30-29,0,train,0.0000,interactive,,0.0500,1,0,1.2716,2.7285,0.7362,0,0.8363,-1,-1
HD_100453__2016-01-21__05-34-59,HD_100453,HIP56354,,HIP_56354,,TYC_8617-1438-1,SAO_239162,HD 100453B_DB_H23_2016-01-20_ird_convert_recenter_dc2022_COBREX_332108,2016-01-21T05:34:59.85,2016-01-21T05:21:25.84,2016-01-21T05:48:33.64,DB_H23,B_H,0.9100,4.2000,4.2800,,0.4035,0.8564,0.5630,1.2700,1.0600,0.9500,1.2000,,,,0.9071,,,0.0041,,,4.1159,4.3000,0.7992,0.8370,0.7561,5.6000,6.3900,,7.7354,176,176,-7.6309,2022-06-24_22-47-37,0,train,0.0000,interactive,,0.0500,0,2,0.9071,4.1159,0.8281,2,0.8780,1,2
