,obs_id,c,t,centroid_y,centroid_x,fwhm_y,fwhm_x,amplitude,theta,centroid_y_err,centroid_x_err,fwhm_y_err,fwhm_x_err,amplitude_err,theta_err
0,2MASS_J00172353-6645124__2015-10-01__05-06-04,0,0,31.977895201536,31.99187245150508,4.384103179643102,5.231940762980932,14092.396755589787,39.037836416312864,0.07856237123160428,0.0821290128446984,0.1789797489791332,0.22393890437594074,553.6434136831999,0.17115572710241578
1,2MASS_J00172353-6645124__2015-10-01__05-06-04,0,1,31.98209236261529,31.983630106090352,4.40070232592053,5.27822456256864,13199.654769174715,36.32159063517707,0.07635030521022788,0.08150643594767767,0.17545780574273126,0.2220720920729686,505.83062162179266,0.162273305353493
2,2MASS_J00172353-6645124__2015-10-01__05-06-04,1,0,31.980421248105003,31.992570278472854,4.464914881725278,5.310515484773565,15523.571905889168,38.766277746622876,0.05667365605749594,0.059345400426859735,0.12997728010043272,0.16258115833246561,432.6855618495097,0.1248333106517817
3,2MASS_J00172353-6645124__2015-10-01__05-06-04,1,1,31.983239224543087,31.98594322771385,4.471976671870658,5.345809917442403,14624.766162214213,36.81287778557365,0.05563862924747251,0.059162103474631654,0.12828684272135377,0.16209780795475703,401.4174384113965,0.11939003970138322
4,2MASS_J00172353-6645124__2016-09-17__05-06-54,0,0,31.781062656487276,32.03346079885191,5.172038487853059,4.84273094976002,12465.684131199343,-9.051047621818388,0.21424194710898553,0.20053398975146658,0.5739187186494378,0.5206765631497564,1221.1770011299952,1.0904553144228704
5,2MASS_J00172353-6645124__2016-09-17__05-06-54,0,1,32.03227529253148,31.997492201176513,4.992190286539624,4.400810992387309,16243.458878233092,-400.5629572111932,0.1530861628074865,0.1493549996210697,0.4059838472902123,0.3472949054710057,1232.9464469120858,0.46125582290504535
6,2MASS_J00172353-6645124__2016-09-17__05-06-54,1,0,31.806182227430455,32.031426595285836,5.1245649938339275,4.836869041354338,13870.421978511795,-15.416813934185823,0.15641545833131845,0.1486302432677014,0.41480602786557713,0.3824606231315277,1004.4216743083398,0.9304820058023675
7,2MASS_J00172353-6645124__2016-09-17__05-06-54,1,1,32.036734588446656,32.00993753363143,5.093173973497179,4.448598898710337,17564.624479827147,-222.37376674313998,0.10628780020515848,0.10457813123988366,0.28588663011773036,0.24144045338859235,913.4829010677936,0.2970802715533393
8,2MASS_J00172353-6645124__2017-11-06__02-01-55,0,0,31.991053332443805,32.0022431764088,4.026673087076425,4.204787800548676,21104.886962744615,38.73836314232809,0.05636228870631881,0.05695515673110679,0.13364383171580319,0.14027517366238937,688.2078582074394,0.5510155173477008
9,2MASS_J00172353-6645124__2017-11-06__02-01-55,0,1,32.001101709623384,32.000951784961856,3.933540492596558,4.150533480147604,26006.050131697273,39.133718543662745,0.05659550122772797,0.05726637120733563,0.13313234555664083,0.1412407940001937,867.3126863001974,0.45237804707273505
