obs_id,sep,pa,status,radius
2MASS_J06255610-6003273__2015-02-07__01-33-14,5931.911070268368,159.85225633967298,add_custom,12.0
2MASS_J07065772-5353463__2017-02-11__02-46-03,3411.988246685026,288.13975798515787,add_custom,12.0
2MASS_J14081015-4123525__2018-05-18__03-24-26,2469.5011471880416,13.279839930833248,add,125.0
2MASS_J20013718-3313139__2015-09-30__00-10-10,4724.174230162835,280.4917420757553,add_custom,16.006983322089052
HD_100453__2016-01-16__07-17-51,4618.177263131996,29.217262636584223,add_custom,12.0
HD_100453__2016-01-16__07-17-51,1061.7272758108627,130.86801652306576,add_custom,85.03470865417117
HD_100453__2016-01-16__07-17-51,1090.09,43.98,add_1_0,12.0
HD_100453__2016-01-21__05-34-59,1090.67,43.53,add_1_0,12.0
HD_100453__2016-01-21__05-34-59,1050.114187882721,132.07961747148454,add,76.8541023704806
HD_100453__2016-01-21__05-34-59,4606.35,28.95,add_1_0,12.0
HD_100453__2016-01-21__05-34-59,6475.92326993575,21.39797036201924,add_custom,12.0
HD_100453__2016-01-21__05-34-59,3089.93,162.8,add_1_0,12.0
HD_100546__2015-05-04__01-08-29,5135.634041805037,325.80505523660366,add,16.428879726593394
HD_100546__2015-05-04__01-08-29,4438.257566457197,189.81991118137643,add,12.0
HD_100546__2015-05-04__01-08-29,5450.489813214979,150.54501984225317,add,19.48678207640399
HD_100546__2015-05-04__01-08-29,3192.281694181849,188.8027798817081,add_custom,12.0
HD_100546__2015-05-29__23-49-24,4640.43,330.62,add_1_0,12.0
HD_100546__2015-05-29__23-49-24,5388.030421702573,31.222666912785257,add_custom,12.0
HD_100546__2015-05-29__23-49-24,6100.556814643932,31.11168707316699,add_custom,12.0
HD_100546__2015-05-29__23-49-24,5290.262237662662,60.22731737964557,add_custom,12.0
HD_100546__2015-05-29__23-49-24,5452.497010332607,150.51000033012394,add,19.495264858984463
HD_100546__2015-05-29__23-49-24,4439.362954634904,189.82502620307983,add,19.783785995235966
HD_100546__2015-05-29__23-49-24,6064.277303090667,33.566612577352146,add_custom,12.0
HD_100546__2015-05-29__23-49-24,3207.95,188.84,add_1_0,12.0
HD_100546__2015-05-29__23-49-24,6002.554889963683,31.27384700757807,add_custom,12.0
HD_100546__2015-05-29__23-49-24,5145.389294681686,325.8999720720853,add,16.828582365334736
HD_100546__2016-03-27__04-00-49,5114.612195616433,325.85015056857293,add,19.12188335320032
HD_100546__2016-03-27__04-00-49,5461.314979204855,150.28499856719486,add,21.24376322577372
HD_100546__2016-03-27__04-00-49,3204.6,188.86,add_0_1,12.0
