,obs_id,radius,x,y,status
0,HD_100546__2018-03-29__04-14-54,75.0,146.69,576.62,static
4,HD_116434__2017-02-07__08-36-46,30.0,693.92,737.07,static_o
0,HD_147553__2015-05-30__05-02-09,75.0,110.815,787.72,static
1,HD_147553__2015-05-30__05-02-09,50.0,885.585,861.41,static
1,HD_100546__2015-05-29__23-49-24,75.0,154.52,603.88,static_o
0,HD_151726__2016-04-01__09-11-13,45.0,636.06,974.605,static
1,HD_151726__2016-04-01__09-11-13,45.0,238.29000000000002,909.44,static
5,HD_326277__2016-03-30__09-20-08,45.0,247.56,758.82,static_t
8,HD_168210__2017-06-03__05-47-51,45.0,413.51,893.31,static_t
9,HD_168210__2017-06-03__05-47-51,45.0,862.61,773.4,static_t
0,TYC_1355-214-1__2017-02-10__02-57-36,70.0,505.325,115.45500000000001,static
2,HD_100546__2016-05-31__23-41-26,75.0,98.03,661.19,static_o
0,HD_100546__2015-05-04__01-08-29,75.0,143.07999999999998,516.155,static
14,HD_175726__2016-09-16__00-00-07,25.0,944.79,688.86,static_o
5,HD_122705__2016-03-30__06-08-16,75.0,355.51,364.63,static_o
6,HD_122705__2016-03-30__06-08-16,75.0,851.12,434.76,static_o
7,HD_143637__2015-06-01__04-01-40,125.0,279.6,676.41,static_o
20,TYC_8047-232-1__2015-09-25__06-19-09,35.0,516.71,216.77,static_o
13,HD_164249__2015-06-01__05-54-21,50.0,282.57,686.4,static_o
0,HD_143637__2017-03-20__08-45-00,75.0,261.17,670.71,static
10,HD_156097__2016-06-28__03-39-05,50.0,816.51,670.15,static_t
11,HD_156097__2016-06-28__03-39-05,50.0,731.85,538.04,static_t
12,HD_156097__2016-06-28__03-39-05,50.0,816.42,116.22,static_t
18,HD_143637__2015-06-04__03-02-47,45.0,668.12,494.81,static_t
0,TYC_486-4943-1__2015-05-31__07-41-39,120.0,709.0899999999999,927.725,static
1,TYC_486-4943-1__2015-05-31__07-41-39,70.0,857.2149999999999,714.975,static
2,TYC_486-4943-1__2015-05-31__07-41-39,50.0,410.675,697.585,static
3,TYC_486-4943-1__2015-05-31__07-41-39,70.0,482.145,23.35,static
