obs_id,seeing_avg,seeing_min,seeing_max,seeing_ambi_fwhm,seeing_tel_fwhm,seeing_tel_fwhmlin,seeing_tel_fwhmlinobs,windspeed_ambi
2MASS_J00172353-6645124__2015-10-01__05-06-04,0.385318,0.305078,0.498382,1.0,0.87,0.98,1.18,3.4
2MASS_J00172353-6645124__2016-09-17__05-06-54,-1.0,-1.0,-1.0,0.8,0.88,0.96,1.15,1.95
2MASS_J00172353-6645124__2017-11-06__02-01-55,0.561853,0.372301,1.03611,1.0,1.05,1.13,1.35,1.65
2MASS_J06255610-6003273__2015-02-07__01-33-14,-1.0,-1.0,-1.0,1.2,0.83,0.9,1.02,4.08
2MASS_J07065772-5353463__2017-02-11__02-46-03,0.388059,0.288837,0.567415,0.8,0.75,0.79,0.87,10.2
2MASS_J14081015-4123525__2018-05-18__03-24-26,0.386828,0.297557,0.472931,1.0,0.76,0.81,0.84,0.65
2MASS_J20013718-3313139__2015-09-30__00-10-10,0.514323,0.313148,1.38726,1.0,0.84,0.91,0.92,6.75
2MASS_J22021626-4210329__2016-06-11__09-29-34,-1.0,-1.0,-1.0,1.4,0.95,1.01,1.04,2.53
HD_100453__2016-01-16__07-17-51,0.510169,0.381024,0.739281,1.2,0.89,0.99,1.1,0.13
HD_100453__2016-01-21__05-34-59,0.562986,0.403488,0.856366,1.2,0.95,1.06,1.27,4.28
HD_100546__2015-05-04__01-08-29,-1.0,-1.0,-1.0,1.0,0.96,1.04,1.29,6.1
HD_100546__2015-05-29__23-49-24,0.453051,0.294736,0.908011,1.0,0.88,0.97,1.21,8.32
HD_100546__2016-03-27__04-00-49,1.32145,0.856859,2.31588,1.0,1.36,1.61,2.0,13.13
HD_100546__2016-05-31__23-41-26,0.639723,0.260948,1.14912,1.0,1.01,1.18,1.47,11.2
HD_100546__2018-03-29__04-14-54,0.482795,0.408887,0.644068,1.0,1.05,1.2,1.48,3.1
HD_101615__2016-06-02__00-32-53,-1.0,-1.0,-1.0,1.0,0.68,0.74,0.77,6.03
HD_102647__2015-05-31__02-07-12,0.807289,0.62697,1.15777,1.0,30.05,1.37,1.81,6.15
HD_102647__2015-05-31__23-39-09,-1.0,-1.0,-1.0,1.0,1.05,1.13,1.32,5.5
HD_103599__2015-06-02__23-29-37,0.659577,0.511827,0.993654,1.0,1.04,1.12,1.22,3.53
HD_104125__2015-06-03__23-27-24,0.620616,0.462123,0.938001,1.0,3.05,1.15,1.28,5.8
HD_104125__2016-03-30__04-41-34,0.717962,0.439726,1.90884,1.0,1.14,1.15,1.28,6.95
HD_105__2015-09-26__03-36-17,0.397427,0.270992,0.697704,1.0,0.79,0.84,0.88,2.38
HD_106048__2016-06-13__23-30-15,-1.0,-1.0,-1.0,1.0,1.0,1.07,1.16,10.43
HD_106048__2017-05-07__01-28-26,0.718997,0.473937,1.62675,1.0,0.97,1.03,1.12,14.48
HD_106048__2018-03-30__03-48-28,0.45167,0.329938,0.75904,1.0,0.85,0.92,1.01,2.83
HD_107301__2015-06-05__23-37-34,0.590486,0.409387,0.97388,1.0,0.97,1.04,1.23,11.18
HD_107301__2016-01-19__06-40-27,0.978174,0.648555,1.40127,1.0,1.23,1.33,1.68,9.05
HD_107821__2015-02-04__08-27-21,-1.0,-1.0,-1.0,1.2,0.73,0.78,0.92,3.35
HD_108767B__2016-06-11__23-43-59,-1.0,-1.0,-1.0,1.0,1.02,1.09,1.1,14.07
HD_108767__2018-01-25__08-46-24,0.317244,0.235232,0.497645,1.0,0.69,0.76,0.76,1.13
HD_109536__2016-04-21__03-19-59,0.878668,0.561437,1.61219,0.8,1.15,1.23,1.26,10.6
HD_109536__2018-06-18__23-28-19,1.10772,0.799896,1.69178,1.0,1.44,1.6,1.64,11.38
HD_109573__2015-02-03__08-45-39,-1.0,-1.0,-1.0,1.2,0.66,0.73,0.74,3.6
HD_110411__2016-06-11__00-13-20,-1.0,-1.0,-1.0,1.4,0.97,1.04,1.17,5.25
HD_113457__2016-04-17__04-19-01,0.690819,0.437731,1.50051,0.8,1.0,1.13,1.33,9.43
HD_115383__2015-05-06__03-19-20,-1.0,-1.0,-1.0,1.4,0.75,0.81,0.91,1.75
HD_115383__2015-06-03__01-11-22,0.654046,0.457908,1.02719,1.0,1.05,1.13,1.27,2.05
HD_115383__2015-06-05__01-31-11,0.742864,0.519422,1.32979,1.4,1.16,1.23,1.39,13.75
HD_115383__2015-06-06__01-30-46,0.521638,0.338851,0.783586,1.4,0.88,0.96,1.1,10.43
2MASS_J00172353-6645124__2015-10-01__05-06-04,-1.0,-1.0,-1.0,1.4,1.2,1.36,1.54,11.65
HD_115383__2016-03-29__05-49-19,0.498173,0.29771,0.985088,1.0,0.83,1.03,1.15,10.2
