obs_id,index,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3,valid_frames
HD_100453__2016-01-21__05-34-59,10,HD_100453,HIP56354,,HIP_56354,,TYC_8617-1438-1,SAO_239162,HD 100453B_DB_H23_2016-01-20_ird_convert_recenter_dc2022_COBREX_332108,2016-01-21T05:34:59.85,2016-01-21T05:21:25.84,2016-01-21T05:48:33.64,DB_H23,B_H,0.91,4.2,4.28,,0.4035,0.8564,0.563,1.27,1.06,0.95,1.2,,,,0.9071,,,0.0041,,,4.1159,4.3,0.7992,0.837,0.7561,5.6,6.39,,7.7354,176,176,-7.6309,2022-06-24_22-47-37,0,train,0.0,interactive,,0.05,0,2,0.9071,4.1159,0.8281,2,0.878,1,2,167
HD_102647__2015-05-31__02-07-12,17,HD_102647,Beta Leo,,HIP_57632,HR_4534,TYC_870-988-1,SAO_99809,HIP 57632_DB_H23_2015-05-30_ird_convert_recenter_dc2022_COBREX_330137,2015-05-31T02:07:12.24,2015-05-31T01:33:48.89,2015-05-31T02:40:34.64,DB_H23,B_H,1.11,1.1,6.15,62.7067,0.627,1.1578,0.8073,1.81,1.37,30.05,1.0,,,,1.1177,,,0.0011,,,1.1136,1.1,0.7972,0.8649,0.5686,1.9,1.925,2.08,,800,800,14.3709,2022-06-16_16-21-39,0,train,0.0,interactive,,0.04,0,1,1.1177,1.1136,0.689,1,0.8794,1,0,469
HD_106048__2017-05-07__01-28-26,24,HD_106048,HIP_59505,,HIP_59505,,TYC_8632-835-1,SAO_239747,HIP 59505_DB_H23_2017-05-06_ird_convert_recenter_dc2022_COBREX_waffles_only_331958,2017-05-07T01:28:26.32,2017-05-07T00:36:54.13,2017-05-07T02:19:58.92,DB_H23,B_H,1.41,1.7,14.48,46.8683,0.4739,1.6267,0.719,1.12,1.03,0.97,1.0,,,1.3247,,,,,,,,2.5,0.4774,0.5724,0.2923,7.701,7.738,,8.5284,91,91,-44.9046,2022-06-24_21-58-01,0,train,0.0,interactive,,0.08,0,0,1.3247,1.7,0.5194,0,0.7701,0,0,74
HD_107301__2016-01-19__06-40-27,27,HD_107301,HIP_60183,,HIP_60183,HR_4692,TYC_8987-40-1,SAO_251854,HIP 60183_DB_H23_2016-01-18_ird_convert_recenter_dc2022_COBREX_332036,2016-01-19T06:40:27.88,2016-01-19T06:04:52.70,2016-01-19T07:16:03.08,DB_H23,B_H,1.85,1.7,9.05,29.8509,0.6486,1.4013,0.9782,1.68,1.33,1.23,1.0,,,,1.8812,,,0.0018,,,1.7787,1.5,0.7517,0.83,0.6335,6.27,6.277,,6.1956,128,128,-20.524,2022-06-24_22-19-30,0,train,0.0,interactive,,0.04,0,0,1.8812,1.7787,0.5904,1,0.7931,0,0,101
HD_108767B__2016-06-11__23-43-59,29,HD_108767B,HD_108767B,,,,TYC_6103-2398-1,SAO_157322,HD 108767B_DB_H23_2016-06-11_ird_convert_recenter_dc2022_COBREX_332664,2016-06-11T23:43:59.05,2016-06-11T23:00:10.53,2016-06-12T00:27:46.61,DB_H23,B_H,0.84,3.3,14.07,50.178,-1.0,-1.0,-1.0,1.1,1.09,1.02,1.0,0.8639,0.677,0.8638,,0.0032,0.0039,,3.1588,3.9299,,3.1,-1.0,-1.0,-1.0,6.235,6.37,,8.1786,80,80,99.2574,2022-06-25_03-45-51,0,train,0.0,interactive,,0.04,0,2,0.8638,3.1588,0.7569,1,0.8782,1,2,68
HD_108767__2018-01-25__08-46-24,30,HD_108767,del_CrvB,,HIP_60965,HR_4757,TYC_6103-2395-1,SAO_157323,HD 108767B_DB_H23_2018-01-24_ird_convert_recenter_dc2022_COBREX_333060,2018-01-25T08:46:24.06,2018-01-25T08:06:39.02,2018-01-25T09:27:29.94,DB_H23,B_H,0.59,8.3,1.13,22.0071,0.2352,0.4976,0.3172,0.76,0.76,0.69,1.0,0.6611,0.352,0.5973,,0.0077,0.0082,,7.6997,8.2265,,10.5,0.8019,0.8319,0.6117,3.05,3.05,2.99,2.9649,72,72,94.4343,2022-06-25_06-20-51,0,train,0.0,interactive,,0.04,0,2,0.5973,7.6997,0.9309,2,0.9691,2,2,65
HD_109536__2016-04-21__03-19-59,31,HD_109536,HIP_61468,,HIP_61468,HR_4794,TYC_7762-1974-1,SAO_223542,HIP 61468_DB_H23_2016-04-20_ird_convert_recenter_dc2022_COBREX_328508,2016-04-21T03:19:59.08,2016-04-21T02:47:49.40,2016-04-21T04:01:03.58,DB_H23,B_H,1.63,2.1,10.6,15.6896,0.5614,1.6122,0.8787,1.26,1.23,1.15,0.8,1.5884,0.604,1.6448,,0.0021,0.0061,,2.0757,6.0776,,1.7,0.7554,0.8286,0.5501,4.571,4.708,,5.0668,216,216,-55.0011,2022-06-10_16-08-05,0,train,0.0,interactive,,0.03,0,0,1.6448,2.0757,0.6605,1,0.8373,1,0,143
HD_115383__2015-05-06__03-19-20,36,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2015-05-05_ird_convert_recenter_dc2022_COBREX_330124,2015-05-06T03:19:20.27,2015-05-06T02:41:30.28,2015-05-06T03:57:09.24,DB_H23,B_H,0.89,1.9,1.75,48.4663,-1.0,-1.0,-1.0,0.91,0.81,0.75,1.4,,,,0.8779,,,0.0019,,,1.8796,1.9,-1.0,-1.0,-1.0,4.033,4.107,4.8,5.0398,896,896,29.6223,2022-06-16_16-28-01,0,train,0.0,interactive,,0.03,1,0,0.8779,1.8796,0.8159,0,0.9245,-1,-1,671
HD_115383__2017-02-10__08-50-22,40,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2017-02-09_ird_convert_recenter_dc2022_COBREX_waffles_only_333577,2017-02-10T08:50:22.29,2017-02-10T08:09:36.83,2017-02-10T09:29:12.83,DB_H23,B_H,0.78,3.4,7.83,35.9474,0.3797,1.2179,0.6368,1.17,1.04,1.01,1.4,,,0.7757,,,,,,,,2.6,0.8221,0.9121,0.5566,4.033,4.107,4.8,5.0398,112,112,31.1881,2022-06-25_08-12-48,0,train,0.0,interactive,,0.02,0,2,0.7757,3.4,0.8775,2,0.9454,2,2,68
HD_115383__2018-04-13__04-58-18,41,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2018-04-12_ird_convert_recenter_dc2022_COBREX_waffles_only_333317,2018-04-13T04:58:18.18,2018-04-13T04:18:49.55,2018-04-13T05:37:44.18,DB_H23,B_H,0.34,14.2,1.7,18.2432,0.1903,0.3608,0.234,0.83,0.74,0.69,1.0,0.432,0.2435,0.3333,,0.0135,0.0163,,13.4983,16.2893,,10.5,0.9407,0.9514,0.9255,4.033,4.107,4.8,5.0398,90,90,30.2492,2022-06-25_07-31-02,0,train,0.0,interactive,,0.02,0,2,0.3333,13.4983,0.9708,2,0.984,2,2,73
